,x,y,z,w,freq,S11,S22
0,0.0,0.0,0.0,0.0,(0.3213808751066646+0.2513981890218403j),(0.8320545050730471+0.8047755925173184j),(100000+0j)
1,0.0,0.0,0.0,0.0,(0.7690404034067151+0.09563035889832083j),(0.7908547554745406+0.2801828229519785j),(42599500+0j)
2,0.0,0.0,0.0,0.0,(0.1856716693931898+0.37419551362010195j),(0.33776277878361693+0.14892197603344104j),(85099000+0j)
3,0.0,0.0,0.0,0.0,(0.5618758882763378+0.018517246514663244j),(0.7088925991779141+0.42903678577749005j),(127598500+0j)
4,0.0,0.0,0.0,0.0,(0.012621133096224812+0.45551216464141586j),(0.5197480438218044+0.4068925640141575j),(170098000+0j)
5,0.0,0.0,0.0,0.0,(0.2943403771108112+0.7924021458477291j),(0.08896439475058526+0.7396371189293132j),(212597500+0j)
6,0.0,0.0,0.0,0.0,(0.7611067477334199+0.3330635437965047j),(0.10294004387482047+0.8523371950493576j),(255097000+0j)
7,0.0,0.0,0.0,0.0,(0.34665860907999235+0.7097123918000742j),(0.2553157069767301+0.8289402944143223j),(297596500+0j)
8,0.0,0.0,0.0,0.0,(0.35292618668627296+0.45532940231634744j),(0.6349787298307167+0.8505012120321941j),(340096000+0j)
9,0.0,0.0,0.0,0.0,(0.33547537770366587+0.5133632711480122j),(0.40840042122661924+0.1234025282530472j),(382595500+0j)
10,0.0,0.0,0.0,0.0,(0.1965966004195634+0.5247867512473323j),(0.4705147490754591+0.4894976504395352j),(425095000+0j)
11,0.0,0.0,0.0,0.0,(0.41373563888789355+0.30787373918614624j),(0.9760855131759709+0.8584046616361543j),(467594500+0j)
12,0.0,0.0,0.0,0.0,(0.48439357173764885+0.5729827310800694j),(0.2790809119033284+0.9701802922894298j),(510094000+0j)
13,0.0,0.0,0.0,0.0,(0.21643514389468943+0.9192820238381681j),(0.11969639670490018+0.30865075011794785j),(552593500+0j)
14,0.0,0.0,0.0,0.0,(0.9962198055489985+0.004007641134367024j),(0.6290549280142479+0.05701866839437253j),(595093000+0j)
15,0.0,0.0,0.0,0.0,(0.4162192905239701+0.25328316430604814j),(0.3058393766268589+0.2710757385923568j),(637592500+0j)
16,0.0,0.0,0.0,0.0,(0.8165199520022687+0.9084492127006942j),(0.38539679621896494+0.20070526025342428j),(680092000+0j)
17,0.0,0.0,0.0,0.0,(0.9820768163546538+0.3363144221393596j),(0.376281944334817+0.3658105205582073j),(722591500+0j)
18,0.0,0.0,0.0,0.0,(0.14857647844093957+0.6516636055997704j),(0.3735931830264242+0.7849943193140895j),(765091000+0j)
19,0.0,0.0,0.0,0.0,(0.2666924242100387+0.6985506005797616j),(0.6829391719700518+0.502408339741152j),(807590500+0j)
