,x,y,z,w,freq,S11,S22
0,0.0,0.0,0.0,0.0,(0.5790979426083005+0.008917358966471167j),(0.609176557839155+0.3467131533721143j),(100000+0j)
1,0.0,0.0,0.0,0.0,(0.34846253318986087+0.5543283511212257j),(0.29108606473387577+0.8427413933893789j),(42599500+0j)
2,0.0,0.0,0.0,0.0,(0.31957357701220135+0.5946366099109018j),(0.3732675193023418+0.1654569790008864j),(85099000+0j)
3,0.0,0.0,0.0,0.0,(0.42815904823082684+0.7856937854944489j),(0.04329748209715922+0.5123342827298629j),(127598500+0j)
4,0.0,0.0,0.0,0.0,(0.47024653043717457+0.4307352179853452j),(0.2723873135936745+0.41300997230973846j),(170098000+0j)
5,0.0,0.0,0.0,0.0,(0.36985597330168996+0.2601058393919785j),(0.22940224635284767+0.9362155842103754j),(212597500+0j)
6,0.0,0.0,0.0,0.0,(0.6543696682569609+0.10097747404993329j),(0.9491758413263661+0.12847827747354923j),(255097000+0j)
7,0.0,0.0,0.0,0.0,(0.7395553533507191+0.7217565637976441j),(0.4321008736175217+0.38680986336246204j),(297596500+0j)
8,0.0,0.0,0.0,0.0,(0.48621371087541676+0.1802137989653465j),(0.6654645248791767+0.448566564445834j),(340096000+0j)
9,0.0,0.0,0.0,0.0,(0.7269556408043711+0.4877451001263001j),(0.8880577370104492+0.6039661683993041j),(382595500+0j)
10,0.0,0.0,0.0,0.0,(0.9589805949118079+0.3161034970790435j),(0.29279439511623473+0.4110534824994465j),(425095000+0j)
11,0.0,0.0,0.0,0.0,(0.8988887590969461+0.8857936799089137j),(0.6272170251809219+0.03427742729590111j),(467594500+0j)
12,0.0,0.0,0.0,0.0,(0.5305541398694605+0.4300341239133759j),(0.2618185764911385+0.4665041917015582j),(510094000+0j)
13,0.0,0.0,0.0,0.0,(0.8689423166275032+0.012117962188888276j),(0.9944198276254164+0.9737171863090447j),(552593500+0j)
14,0.0,0.0,0.0,0.0,(0.04078558736996851+0.5657995214246552j),(0.3691865087997902+0.6671433405432864j),(595093000+0j)
15,0.0,0.0,0.0,0.0,(0.9361437165514553+0.3534081351609717j),(0.6656074995261629+0.7506767489925674j),(637592500+0j)
16,0.0,0.0,0.0,0.0,(0.8450612544605373+0.7280864076981243j),(0.3011195849620092+0.14438396072587656j),(680092000+0j)
