,x,y,z,w,freq,S11,S22
0,0.0,0.0,0.0,0.0,(0.7340499605378284+0.5525142349430638j),(0.41684452858180954+0.559155656255321j),(100000+0j)
1,0.0,0.0,0.0,0.0,(0.027196425646528244+0.35655338026055106j),(0.5369258371767043+0.005796464066618157j),(42599500+0j)
2,0.0,0.0,0.0,0.0,(0.252664670434121+0.366030320477694j),(0.9266859867008581+0.5464018289890448j),(85099000+0j)
3,0.0,0.0,0.0,0.0,(0.28034267234964505+0.37044951078605504j),(0.3647289935584095+0.7515918187179434j),(127598500+0j)
4,0.0,0.0,0.0,0.0,(0.6345419463773598+0.15989684548632654j),(0.7921161443984693+0.8157490968846116j),(170098000+0j)
5,0.0,0.0,0.0,0.0,(0.1605637278561468+0.505378075853214j),(0.09946026420532372+0.9087302257815488j),(212597500+0j)
6,0.0,0.0,0.0,0.0,(0.06581982345341109+0.3350324422641464j),(0.08357189308828528+0.29818620934354645j),(255097000+0j)
7,0.0,0.0,0.0,0.0,(0.5205486051401175+0.48106791168870067j),(0.3482971118726351+0.7371945480920108j),(297596500+0j)
8,0.0,0.0,0.0,0.0,(0.3176055634491195+0.34021349358078234j),(0.6323420996985776+0.5264615989113337j),(340096000+0j)
9,0.0,0.0,0.0,0.0,(0.3062276702027832+0.7058242756277231j),(0.37909762680973547+0.2444414860423929j),(382595500+0j)
10,0.0,0.0,0.0,0.0,(0.8111886242069287+0.18039064714272746j),(0.1938203792757477+0.6987862237391864j),(425095000+0j)
11,0.0,0.0,0.0,0.0,(0.43371445116266083+0.1364065657008946j),(0.022829336091035435+0.31100653123773625j),(467594500+0j)
12,0.0,0.0,0.0,0.0,(0.06649890020137073+0.8010738279984659j),(0.4029980306942027+0.524451321264917j),(510094000+0j)
13,0.0,0.0,0.0,0.0,(0.44204305105770525+0.4880692935755151j),(0.2864634404566485+0.4159379655758486j),(552593500+0j)
14,0.0,0.0,0.0,0.0,(0.14787323718158218+0.8025097668950906j),(0.5125694044659282+0.24175772580501032j),(595093000+0j)
15,0.0,0.0,0.0,0.0,(0.5783487094147758+0.019138036997042307j),(0.6696874508191406+0.0005949049629151437j),(637592500+0j)
16,0.0,0.0,0.0,0.0,(0.39215702524203533+0.5712183627615116j),(0.19893470153563442+0.9151024064540432j),(680092000+0j)
17,0.0,0.0,0.0,0.0,(0.7433373754000996+0.39022486108342125j),(0.9955953010082278+0.30146845611262707j),(722591500+0j)
18,0.0,0.0,0.0,0.0,(0.32940616799445+0.8690060565622035j),(0.16395516427132162+0.23450768548311418j),(765091000+0j)
19,0.0,0.0,0.0,0.0,(0.2768618299245519+0.059045376222185975j),(0.16062372863304897+0.02227708996276556j),(807590500+0j)
20,0.0,0.0,0.0,0.0,(0.991543799096606+0.15059983192074677j),(0.1320550557276401+0.6636332430218294j),(850090000+0j)
21,0.0,0.0,0.0,0.0,(0.3682997955269719+0.0019099640266454498j),(0.13081220375770042+0.2274649247974977j),(892589500+0j)
22,0.0,0.0,0.0,0.0,(0.710720992464046+0.9268059773492332j),(0.18567495410431456+0.41140546766341646j),(935089000+0j)
23,0.0,0.0,0.0,0.0,(0.8520827913081324+0.9614163156290375j),(0.3278595320201968+0.6593748618685324j),(977588500+0j)
24,0.0,0.0,0.0,0.0,(0.2646428715403868+0.27271799143215014j),(0.8284869079246142+0.8464953783611527j),(1020088000+0j)
25,0.0,0.0,0.0,0.0,(0.5775373613393315+0.0757693347620807j),(0.7167977007365434+0.7521391964668757j),(1062587500+0j)
26,0.0,0.0,0.0,0.0,(0.47233691802058375+0.4345459777668361j),(0.7088664560621013+0.5632220345468326j),(1105087000+0j)
