,x,y,z,w,freq,S11
0,0.0,0.0,0.0,0.0,(100000+0j),(0.6907993559384313+0.7821762633556546j)
1,0.0,0.0,0.0,0.0,(42599500+0j),(0.11280847494076085+0.3490576120638339j)
2,0.0,0.0,0.0,0.0,(85099000+0j),(0.48324204232040724+0.8217840339727973j)
3,0.0,0.0,0.0,0.0,(127598500+0j),(0.0666770592898166+0.3309051728422093j)
4,0.0,0.0,0.0,0.0,(170098000+0j),(0.2179222269238641+0.5952973293732502j)
5,0.0,0.0,0.0,0.0,(212597500+0j),(0.8388118688308689+0.019169966536463523j)
6,0.0,0.0,0.0,0.0,(255097000+0j),(0.11547315989243678+0.37433184155479793j)
7,0.0,0.0,0.0,0.0,(297596500+0j),(0.6170490331898013+0.0324306131359996j)
8,0.0,0.0,0.0,0.0,(340096000+0j),(0.9928661928907271+0.0226064676621468j)
9,0.0,0.0,0.0,0.0,(382595500+0j),(0.8686710438430691+0.7042634062333191j)
10,0.0,0.0,0.0,0.0,(425095000+0j),(0.9090932203966693+0.7354752227973734j)
11,0.0,0.0,0.0,0.0,(467594500+0j),(0.07615824863545595+0.37103200694776617j)
12,0.0,0.0,0.0,0.0,(510094000+0j),(0.015431780633677117+0.6588625378052755j)
13,0.0,0.0,0.0,0.0,(552593500+0j),(0.5847927822234472+0.95074540900761j)
14,0.0,0.0,0.0,0.0,(595093000+0j),(0.7786739617549622+0.08373021915508383j)
15,0.0,0.0,0.0,0.0,(637592500+0j),(0.0908528483400215+0.3610881303744965j)
16,0.0,0.0,0.0,0.0,(680092000+0j),(0.8229494815491161+0.605894465583079j)
17,0.0,0.0,0.0,0.0,(722591500+0j),(0.5290689538990587+0.2072251631356653j)
18,0.0,0.0,0.0,0.0,(765091000+0j),(0.5600353811530553+0.11149144510107667j)
19,0.0,0.0,0.0,0.0,(807590500+0j),(0.7823676444666479+0.4817130033264111j)
20,0.0,0.0,0.0,0.0,(850090000+0j),(0.26786681097863896+0.05971993445050483j)
21,0.0,0.0,0.0,0.0,(892589500+0j),(0.9403417819679561+0.07741597231234798j)
22,0.0,0.0,0.0,0.0,(935089000+0j),(0.050376551114086454+0.43560805467600827j)
23,0.0,0.0,0.0,0.0,(977588500+0j),(0.1829880321500742+0.8124096235490323j)
24,0.0,0.0,0.0,0.0,(1020088000+0j),(0.6021734267367532+0.7722396289800563j)
25,0.0,0.0,0.0,0.0,(1062587500+0j),(0.14934929487477056+0.2009046281177077j)
26,0.0,0.0,0.0,0.0,(1105087000+0j),(0.6032640976123915+0.892316515768404j)
27,0.0,0.0,0.0,0.0,(1147586500+0j),(0.6358059479546596+0.9935703413567374j)
28,0.0,0.0,0.0,0.0,(1190086000+0j),(0.2501549800545736+0.8032456005018886j)
29,0.0,0.0,0.0,0.0,(1232585500+0j),(0.43621003312978013+0.4396437252749297j)
30,0.0,0.0,0.0,0.0,(1275085000+0j),(0.7909503621363674+0.3277738049146923j)
31,0.0,0.0,0.0,0.0,(1317584500+0j),(0.7601055609800929+0.9920740108274515j)
32,0.0,0.0,0.0,0.0,(1360084000+0j),(0.7722597593946937+0.8620030054749979j)
33,0.0,0.0,0.0,0.0,(1402583500+0j),(0.10365748971650068+0.38008725219224027j)
34,0.0,0.0,0.0,0.0,(1445083000+0j),(0.2683464148288197+0.8621003767132424j)
35,0.0,0.0,0.0,0.0,(1487582500+0j),(0.6397363217160338+0.7416985686173855j)
36,0.0,0.0,0.0,0.0,(1530082000+0j),(0.21948413459993044+0.463890772314837j)
37,0.0,0.0,0.0,0.0,(1572581500+0j),(0.40180497934005055+0.5961503745561941j)
38,0.0,0.0,0.0,0.0,(1615081000+0j),(0.4187857469305838+0.3483651337854201j)
39,0.0,0.0,0.0,0.0,(1657580500+0j),(0.5853470747393925+0.27976460672193726j)
40,0.0,0.0,0.0,0.0,(1700080000+0j),(0.8414790802866036+0.5317492197481413j)
41,0.0,0.0,0.0,0.0,(1742579500+0j),(0.4211920995464785+0.7502615523629307j)
42,0.0,0.0,0.0,0.0,(1785079000+0j),(0.4872913057405943+0.5881869303703333j)
43,0.0,0.0,0.0,0.0,(1827578500+0j),(0.11586688834445835+0.6419816693746573j)
44,0.0,0.0,0.0,0.0,(1870078000+0j),(0.35605815003564323+0.021379557269253113j)
45,0.0,0.0,0.0,0.0,(1912577500+0j),(0.6766528773039304+0.6037653342433599j)
46,0.0,0.0,0.0,0.0,(1955077000+0j),(0.051847008217203894+0.6193083763181734j)
47,0.0,0.0,0.0,0.0,(1997576500+0j),(0.5728054898481503+0.4861872264167557j)
48,0.0,0.0,0.0,0.0,(2040076000+0j),(0.43862894749058157+0.4277757961053421j)
49,0.0,0.0,0.0,0.0,(2082575500+0j),(0.6740115029508571+0.20988368937736013j)
50,0.0,0.0,0.0,0.0,(2125075000+0j),(0.5548954144557903+0.18015126791709524j)
51,0.0,0.0,0.0,0.0,(2167574500+0j),(0.85910391335987+0.3466659371618601j)
52,0.0,0.0,0.0,0.0,(2210074000+0j),(0.10544196114376447+0.7576544554806035j)
